job_name,test_case,config,nodes,ntasks,peak_enabled,start_time,end_time,elapsed_seconds,exit_code,slurm_job_id
abinit_test_paral_1_n1_nopeak,test_paral_1,n1_nopeak,1,1,false,2026-07-05 23:15:00,2026-07-05 23:15:05,5,0,3277187
abinit_test_paral_1_n24_nopeak,test_paral_1,n24_nopeak,1,24,false,2026-07-05 23:20:06,2026-07-05 23:20:10,4,0,3277188
abinit_test_paral_1_n48_nopeak,test_paral_1,n48_nopeak,1,48,false,2026-07-05 23:35:19,2026-07-05 23:35:23,4,0,3277189
abinit_test_paral_1_N16_nopeak,test_paral_1,N16_nopeak,16,768,false,2026-07-06 02:22:49,2026-07-06 02:22:53,4,13,3277192
abinit_test_paral_1_N2_nopeak,test_paral_1,N2_nopeak,2,96,false,2026-07-06 02:22:49,2026-07-06 02:22:54,5,0,3277190
abinit_test_paral_1_N8_nopeak,test_paral_1,N8_nopeak,8,384,false,2026-07-06 02:22:49,2026-07-06 02:22:54,5,0,3277191
abinit_test_paral_1_N8_peak,test_paral_1,N8_peak,8,384,true,2026-07-06 02:22:49,2026-07-06 02:40:13,1044,255,3277197
abinit_test_paral_1_N16_peak,test_paral_1,N16_peak,16,768,true,2026-07-06 02:22:49,2026-07-06 02:40:20,1051,255,3277198
abinit_test_paral_1_n48_peak,test_paral_1,n48_peak,1,48,true,2026-07-06 02:27:50,2026-07-06 02:44:53,1023,255,3277195
abinit_test_paral_1_N2_peak,test_paral_1,N2_peak,2,96,true,2026-07-06 02:27:50,2026-07-06 02:44:58,1028,255,3277196
abinit_test_paral_1_n24_peak,test_paral_1,n24_peak,1,24,true,2026-07-06 02:27:50,2026-07-06 03:12:46,2696,255,3277194
