job_name,test_case,config,nodes,ntasks,peak_enabled,start_time,end_time,elapsed_seconds,exit_code,slurm_job_id
abinit_test1_N8_,test1,N8_,8,384,false,2026-06-29 13:16:23,2026-06-29 13:16:26,3,0,3255681
abinit_test1_N8_peak,test1,N8_peak,8,384,true,2026-06-29 13:16:23,2026-06-29 13:16:26,3,0,3255682
abinit_test0_N8_peak,test0,N8_peak,8,384,true,2026-06-29 13:16:23,2026-06-29 13:16:26,3,0,3255680
abinit_test0_N8_,test0,N8_,8,384,false,2026-06-29 13:16:23,2026-06-29 13:16:26,3,0,3255679
abinit_test1_N8_,test1,N8_,8,384,false,2026-06-29 13:21:28,2026-06-29 13:21:31,3,0,3255695
abinit_test1_N8_peak,test1,N8_peak,8,384,true,2026-06-29 13:21:28,2026-06-29 13:21:31,3,0,3255696
abinit_test0_N8_,test0,N8_,8,384,false,2026-06-29 13:21:28,2026-06-29 13:21:31,3,0,3255693
abinit_test0_N8_peak,test0,N8_peak,8,384,true,2026-06-29 13:21:28,2026-06-29 13:21:31,3,0,3255694
abinit_test3_N8_peak,test3,N8_peak,8,384,true,2026-06-29 13:26:34,2026-06-29 13:26:37,3,0,3255737
abinit_test2_N8_,test2,N8_,8,384,false,2026-06-29 13:26:34,2026-06-29 13:26:37,3,0,3255734
abinit_test3_N8_,test3,N8_,8,384,false,2026-06-29 13:26:34,2026-06-29 13:26:37,3,0,3255736
abinit_test2_N8_peak,test2,N8_peak,8,384,true,2026-06-29 13:26:35,2026-06-29 13:26:37,2,0,3255735
abinit_test4_N8_,test4,N8_,8,384,false,2026-06-29 13:31:41,2026-06-29 13:31:44,3,0,3255742
abinit_test4_N8_peak,test4,N8_peak,8,384,true,2026-06-29 13:31:41,2026-06-29 13:31:44,3,0,3255685
abinit_test2_N4_,test2,N4_,4,192,false,2026-06-29 13:36:47,2026-06-29 13:36:50,3,0,3255769
abinit_test1_N4_,test1,N4_,4,192,false,2026-06-29 13:36:47,2026-06-29 13:36:50,3,0,3255767
abinit_test1_N4_peak,test1,N4_peak,4,192,true,2026-06-29 13:36:47,2026-06-29 13:36:50,3,0,3255768
abinit_test0_N4_peak,test0,N4_peak,4,192,true,2026-06-29 13:36:47,2026-06-29 13:36:50,3,0,3255766
abinit_test0_N4_,test0,N4_,4,192,false,2026-06-29 13:36:47,2026-06-29 13:36:50,3,0,3255765
abinit_test2_N4_peak,test2,N4_peak,4,192,true,2026-06-29 13:41:53,2026-06-29 13:41:56,3,0,3255780
abinit_test3_N4_,test3,N4_,4,192,false,2026-06-29 13:41:53,2026-06-29 13:41:56,3,0,3255781
abinit_test3_N4_peak,test3,N4_peak,4,192,true,2026-06-29 13:41:53,2026-06-29 13:41:56,3,0,3255782
abinit_test4_N4_,test4,N4_,4,192,false,2026-06-29 13:41:53,2026-06-29 13:41:56,3,0,3255783
abinit_test4_N4_peak,test4,N4_peak,4,192,true,2026-06-29 13:41:53,2026-06-29 13:41:56,3,0,3255745
abinit_test1_N2_peak,test1,N2_peak,2,96,true,2026-06-29 13:47:02,2026-06-29 13:47:05,3,0,3255795
abinit_test2_N2_,test2,N2_,2,96,false,2026-06-29 13:47:02,2026-06-29 13:47:05,3,0,3255796
abinit_test1_N2_,test1,N2_,2,96,false,2026-06-29 13:47:02,2026-06-29 13:47:05,3,0,3255794
abinit_test0_N2_,test0,N2_,2,96,false,2026-06-29 13:47:02,2026-06-29 13:47:05,3,0,3255792
abinit_test0_N2_peak,test0,N2_peak,2,96,true,2026-06-29 13:47:02,2026-06-29 13:47:05,3,0,3255793
abinit_test2_N2_peak,test2,N2_peak,2,96,true,2026-06-29 13:57:14,2026-06-29 13:57:17,3,0,3255824
abinit_test3_N2_,test3,N2_,2,96,false,2026-06-29 13:57:14,2026-06-29 13:57:17,3,0,3255825
abinit_test4_N2_peak,test4,N2_peak,2,96,true,2026-06-29 14:02:23,2026-06-29 14:02:26,3,0,3255784
abinit_test4_N2_,test4,N2_,2,96,false,2026-06-29 14:02:23,2026-06-29 14:02:26,3,0,3255840
abinit_test3_N2_peak,test3,N2_peak,2,96,true,2026-06-29 14:02:23,2026-06-29 14:02:27,4,0,3255839
abinit_test0_n8_,test0,n8_,1,8,false,2026-06-29 14:07:31,2026-06-29 14:07:35,4,0,3255851
abinit_test2_n8_,test2,n8_,1,8,false,2026-06-29 14:07:34,2026-06-29 14:07:37,3,0,3255855
abinit_test1_n8_,test1,n8_,1,8,false,2026-06-29 14:07:34,2026-06-29 14:07:37,3,0,3255853
abinit_test0_n8_peak,test0,n8_peak,1,8,true,2026-06-29 14:07:34,2026-06-29 14:07:37,3,0,3255852
abinit_test1_n8_peak,test1,n8_peak,1,8,true,2026-06-29 14:07:34,2026-06-29 14:07:38,4,0,3255854
abinit_test4_n8_,test4,n8_,1,8,false,2026-06-29 14:12:42,2026-06-29 14:12:45,3,0,3255880
abinit_test2_n8_peak,test2,n8_peak,1,8,true,2026-06-29 14:12:42,2026-06-29 14:12:45,3,0,3255877
abinit_test3_n8_peak,test3,n8_peak,1,8,true,2026-06-29 14:12:42,2026-06-29 14:12:45,3,0,3255879
abinit_test4_n8_peak,test4,n8_peak,1,8,true,2026-06-29 14:12:42,2026-06-29 14:12:45,3,0,3255842
abinit_test3_n8_,test3,n8_,1,8,false,2026-06-29 14:12:42,2026-06-29 14:12:45,3,0,3255878
abinit_test0_N16_,test0,N16_,16,768,false,2026-06-29 14:17:47,2026-06-29 14:17:49,2,0,3255898
abinit_test0_N16_peak,test0,N16_peak,16,768,true,2026-06-29 14:17:47,2026-06-29 14:17:50,3,0,3255899
abinit_test1_N16_peak,test1,N16_peak,16,768,true,2026-06-29 14:28:03,2026-06-29 14:28:06,3,0,3255941
abinit_test1_N16_,test1,N16_,16,768,false,2026-06-29 14:28:03,2026-06-29 14:28:06,3,0,3255940
abinit_test2_N16_,test2,N16_,16,768,false,2026-06-29 14:28:03,2026-06-29 14:28:07,4,0,3255942
abinit_test2_N16_peak,test2,N16_peak,16,768,true,2026-06-29 14:33:11,2026-06-29 14:33:14,3,0,3256015
abinit_test3_N16_,test3,N16_,16,768,false,2026-06-29 14:33:11,2026-06-29 14:33:14,3,0,3256016
abinit_test4_N16_,test4,N16_,16,768,false,2026-06-29 14:38:20,2026-06-29 14:38:23,3,0,3256025
abinit_test4_N16_peak,test4,N16_peak,16,768,true,2026-06-29 14:38:20,2026-06-29 14:38:23,3,0,3255891
abinit_test3_N16_peak,test3,N16_peak,16,768,true,2026-06-29 14:38:20,2026-06-29 14:38:23,3,0,3256024
