job_name,test_case,config,nodes,ntasks,peak_enabled,start_time,end_time,elapsed_seconds,exit_code,slurm_job_id
lammps_rhodo_n1_nopeak,rhodo,n1_nopeak,1,1,false,2026-07-13 22:18:35,2026-07-13 22:19:07,32,0,3305483
lammps_rhodo_N16_nopeak,rhodo,N16_nopeak,16,768,false,2026-07-13 22:30:55,2026-07-13 22:33:10,135,255,3305488
lammps_rhodo_n48_nopeak,rhodo,n48_nopeak,1,48,false,2026-07-13 22:33:27,2026-07-13 22:33:30,3,0,3305485
lammps_rhodo_n24_nopeak,rhodo,n24_nopeak,1,24,false,2026-07-13 22:33:27,2026-07-13 22:33:31,4,0,3305484
lammps_rhodo_N2_nopeak,rhodo,N2_nopeak,2,96,false,2026-07-13 22:33:27,2026-07-13 22:33:31,4,0,3305486
lammps_rhodo_N8_nopeak,rhodo,N8_nopeak,8,384,false,2026-07-13 22:33:27,2026-07-13 22:33:31,4,0,3305487
lammps_rhodo_n1_peak,rhodo,n1_peak,1,1,true,2026-07-13 22:33:27,2026-07-13 22:33:58,31,0,3305489
