 
     w [eV]       Osc.Str.         Transition         Weight      KS [eV]    Sym.
 
 ================================================================================
 
      1.806        0.00000000       119   ->   121        0.763       1.797      S
      1.806        0.00000000       120   ->   122        0.613       1.797      S
      1.806        0.00000000       119   ->   123        0.663       1.797      S
      1.806        0.00000000       118   ->   121        0.616       1.797      S
      1.823        0.00000000       118   ->   122        0.607       1.797      S
      1.823        0.00000000       119   ->   122        0.585       1.797      S
      1.823        0.00000000       120   ->   123        0.648       1.797      S
      1.836        0.00000000       117   ->   121        0.627       1.797      S
      1.836        0.00000000       120   ->   122        0.544       1.797      S
      1.836        0.00000000       117   ->   123        0.679       1.797      S
      1.969        0.00000000       120   ->   121        0.840       1.797      S
      1.969        0.00000000       119   ->   122        0.913       1.797      S
      1.969        0.00000000       120   ->   123        0.875       1.797      S
      1.969        0.00000000       118   ->   123        0.734       1.797      S
      1.969        0.00000000       117   ->   122        0.915       1.797      S
      2.579        0.00000000       120   ->   124        0.756       2.570      S
      2.579        0.00000000       119   ->   125        0.776       2.570      S
      2.579        0.00000000       120   ->   126        0.767       2.570      S
      2.579        0.00000000       118   ->   124        0.687       2.570      S
      2.579        0.00000000       117   ->   125        0.867       2.570      S
      2.583        0.00000000       120   ->   125        0.867       2.570      S
      2.583        0.00000000       119   ->   124        0.838       2.570      S
      2.583        0.00000000       119   ->   126        0.802       2.570      S
      2.583        0.00000000       118   ->   126        0.624       2.570      S
      2.610        0.00000000       116   ->   126        0.568       2.570      S
      2.610        0.00000000       117   ->   124        0.591       2.570      S
      2.610        0.00000000       118   ->   124        0.493       2.570      S
      2.634        0.00198503       117   ->   126        0.599       2.570      S
      2.634        0.00198503       117   ->   124        0.580       2.570      S
      2.634        0.00198503       120   ->   125        0.510       2.570      S
      2.736        0.00000000       113   ->   121        0.591       2.724      S
      2.736        0.00000000       112   ->   121        0.618       2.724      S
      2.736        0.00000000       112   ->   123        0.617       2.724      S
      2.736        0.00000000       112   ->   122        0.622       2.724      S
      2.738        0.00000000       114   ->   121        0.480       2.724      S
      2.738        0.00000000       113   ->   123        0.566       2.724      S
      2.738        0.00000000       112   ->   121        0.875       2.724      S
      2.738        0.00000000       112   ->   122        0.868       2.724      S
      2.738        0.00000000       112   ->   123        0.877       2.724      S
      2.751        0.00000000       108   ->   121        0.592       2.743      S
      2.751        0.00000000       107   ->   122        0.683       2.743      S
      2.751        0.00000000       108   ->   123        0.597       2.743      S
      2.769        0.00000000       109   ->   123        0.650       2.743      S
      2.769        0.00000000       110   ->   122        0.800       2.743      S
      2.769        0.00000000       107   ->   121        0.806       2.743      S
      2.769        0.00000000       108   ->   122        0.486       2.743      S
      2.769        0.00000000       107   ->   123        0.800       2.743      S
      2.801        0.00000000       109   ->   121        0.605       2.743      S
      2.801        0.00000000       107   ->   121        0.715       2.743      S
      2.801        0.00000000       108   ->   121        0.487       2.743      S
      2.801        0.00000000       107   ->   122        0.508       2.743      S
      2.938        0.00000000       115   ->   123        0.671       2.724      S
      2.938        0.00000000       112   ->   121        0.597       2.724      S
      2.938        0.00000000       114   ->   123        0.606       2.724      S
      3.295        0.14018856       110   ->   123        0.476       2.743      S
      3.295        0.14018856       111   ->   123        0.490       2.743      S
      3.295        0.14018856       110   ->   121        0.474       2.743      S
      3.502        0.00000000       115   ->   124        0.658       3.497      S
      3.502        0.00000000       112   ->   125        0.646       3.497      S
      3.502        0.00000000       113   ->   126        0.624       3.497      S
      3.515        0.00000000       113   ->   126        0.581       3.497      S
      3.515        0.00000000       112   ->   126        0.585       3.497      S
      3.515        0.00000000       112   ->   125        0.581       3.497      S
      3.515        0.00000000       112   ->   124        0.584       3.497      S
      3.528        0.00000000       114   ->   125        0.511       3.497      S
      3.528        0.00000000       113   ->   124        0.626       3.497      S
      3.528        0.00000000       112   ->   125        0.656       3.497      S
      3.528        0.00000000       112   ->   126        0.677       3.497      S
      3.528        0.00000000       112   ->   124        0.695       3.497      S
      3.538        0.00000000       111   ->   125        0.621       3.516      S
      3.538        0.00000000       109   ->   124        0.550       3.516      S
      3.538        0.00000000       109   ->   125        0.670       3.516      S
      3.541        0.00000000       110   ->   124        0.655       3.516      S
      3.541        0.00000000       111   ->   124        0.620       3.516      S
      3.541        0.00000000       110   ->   126        0.569       3.516      S
      3.551        0.00000000       109   ->   126        0.623       3.516      S
      3.551        0.00000000       108   ->   124        0.663       3.516      S
      3.551        0.00000000       107   ->   126        0.610       3.516      S
      3.551        0.00000000       108   ->   126        0.515       3.516      S
      3.736        0.00000000       111   ->   126        0.620       3.516      S
      3.736        0.00000000       110   ->   125        0.736       3.516      S
      3.736        0.00000000       107   ->   124        0.708       3.516      S
      3.736        0.00000000       108   ->   125        0.687       3.516      S
      3.736        0.00000000       107   ->   126        0.652       3.516      S
      3.892        0.00000000       119   ->   128        0.460       3.892      S
      3.893        0.00000000       119   ->   128        0.687       3.892      S
      3.893        0.00000000       120   ->   129        0.509       3.892      S
      3.893        0.00000000       119   ->   130        0.606       3.892      S
      3.893        0.00000000       118   ->   130        0.496       3.892      S
      3.899        0.00000000       119   ->   129        0.731       3.892      S
      3.899        0.00000000       117   ->   127        0.624       3.892      S
      3.899        0.00000000       119   ->   131        0.738       3.892      S
      3.899        0.00000000       117   ->   130        0.818       3.892      S
      3.899        0.00000000       118   ->   131        0.679       3.892      S
      3.926        0.00000000       106   ->   121        0.569       3.926      S
      3.926        0.00000000       105   ->   122        0.580       3.926      S
      3.926        0.00000000       106   ->   123        0.535       3.926      S
      3.926        0.00000000       106   ->   123        0.619       3.926      S
      3.926        0.00000000       106   ->   122        0.634       3.926      S
      3.926        0.00000000       106   ->   121        0.576       3.926      S
