job_name,test_case,config,nodes,ntasks,peak_enabled,start_time,end_time,elapsed_seconds,exit_code,slurm_job_id
dftb_spinlock_N16_nopeak,spinlock,N16_nopeak,16,768,false,2026-07-13 13:38:39,2026-07-13 13:38:42,3,1,3303347
dftb_spinlock_N8_nopeak,spinlock,N8_nopeak,8,384,false,2026-07-13 13:38:54,2026-07-13 13:38:56,2,1,3303346
dftb_spinlock_n1_nopeak,spinlock,n1_nopeak,1,1,false,2026-07-13 13:38:59,2026-07-13 13:39:01,2,1,3303342
dftb_spinlock_N2_nopeak,spinlock,N2_nopeak,2,96,false,2026-07-13 13:39:00,2026-07-13 13:39:02,2,1,3303345
dftb_spinlock_n24_nopeak,spinlock,n24_nopeak,1,24,false,2026-07-13 13:39:00,2026-07-13 13:39:02,2,1,3303343
dftb_spinlock_n48_nopeak,spinlock,n48_nopeak,1,48,false,2026-07-13 13:39:00,2026-07-13 13:39:02,2,1,3303344
dftb_spinlock_n1_peak,spinlock,n1_peak,1,1,true,2026-07-13 13:39:00,2026-07-13 13:39:03,3,1,3303348
