job_name,test_case,config,nodes,ntasks,peak_enabled,start_time,end_time,elapsed_seconds,exit_code,slurm_job_id
lammps_rhodo_N2_nopeak,rhodo,N2_nopeak,2,96,false,2026-07-13 22:58:40,2026-07-13 22:58:44,4,0,3305582
lammps_rhodo_N8_nopeak,rhodo,N8_nopeak,8,384,false,2026-07-13 22:58:40,2026-07-13 22:58:44,4,0,3305583
lammps_rhodo_N16_nopeak,rhodo,N16_nopeak,16,768,false,2026-07-13 22:58:39,2026-07-13 22:58:47,8,255,3305584
lammps_rhodo_n48_nopeak,rhodo,n48_nopeak,1,48,false,2026-07-13 23:03:40,2026-07-13 23:03:44,4,0,3305581
lammps_rhodo_n24_nopeak,rhodo,n24_nopeak,1,24,false,2026-07-13 23:03:40,2026-07-13 23:03:44,4,0,3305580
lammps_rhodo_n1_nopeak,rhodo,n1_nopeak,1,1,false,2026-07-13 23:03:40,2026-07-13 23:04:12,32,0,3305579
lammps_rhodo_n1_peak,rhodo,n1_peak,1,1,true,2026-07-13 23:03:40,2026-07-13 23:04:12,32,0,3305585
