job_name,test_case,config,nodes,ntasks,peak_enabled,start_time,end_time,elapsed_seconds,exit_code,slurm_job_id
dftb_spinlock_N2_nopeak,spinlock,N2_nopeak,2,96,false,2026-07-13 14:59:04,2026-07-13 14:59:06,2,1,3303876
dftb_spinlock_N8_nopeak,spinlock,N8_nopeak,8,384,false,2026-07-13 14:59:04,2026-07-13 14:59:07,3,1,3303877
dftb_spinlock_N16_nopeak,spinlock,N16_nopeak,16,768,false,2026-07-13 14:59:04,2026-07-13 14:59:07,3,1,3303878
dftb_spinlock_n1_nopeak,spinlock,n1_nopeak,1,1,false,2026-07-13 14:59:22,2026-07-13 15:01:22,120,0,3303873
dftb_spinlock_n1_peak,spinlock,n1_peak,1,1,true,2026-07-13 14:59:22,2026-07-13 15:01:23,121,0,3303879
dftb_spinlock_n24_nopeak,spinlock,n24_nopeak,1,24,false,2026-07-13 14:59:22,2026-07-13 15:01:46,144,0,3303874
dftb_spinlock_n48_nopeak,spinlock,n48_nopeak,1,48,false,2026-07-13 14:59:22,2026-07-13 15:03:02,220,0,3303875
