job_name,test_case,config,nodes,ntasks,peak_enabled,start_time,end_time,elapsed_seconds,exit_code,slurm_job_id
qe_scf_N16_nopeak,scf,N16_nopeak,16,768,false,2026-07-13 13:37:51,2026-07-13 13:37:56,5,1,3303337
qe_scf_n1_nopeak,scf,n1_nopeak,1,1,false,2026-07-13 13:38:13,2026-07-13 13:38:15,2,1,3303332
qe_scf_n24_nopeak,scf,n24_nopeak,1,24,false,2026-07-13 13:38:13,2026-07-13 13:38:15,2,1,3303333
qe_scf_n48_nopeak,scf,n48_nopeak,1,48,false,2026-07-13 13:38:13,2026-07-13 13:38:15,2,1,3303334
qe_scf_N2_nopeak,scf,N2_nopeak,2,96,false,2026-07-13 13:38:13,2026-07-13 13:38:15,2,1,3303335
qe_scf_N8_nopeak,scf,N8_nopeak,8,384,false,2026-07-13 13:38:13,2026-07-13 13:38:16,3,1,3303336
qe_scf_n1_peak,scf,n1_peak,1,1,true,2026-07-13 13:38:13,2026-07-13 13:38:17,4,1,3303338
qe_scf_n1_nopeak,scf,n1_nopeak,1,1,false,2026-07-13 14:13:11,2026-07-13 14:13:23,12,1,3303620
