job_name,test_case,config,nodes,ntasks,peak_enabled,start_time,end_time,elapsed_seconds,exit_code,slurm_job_id
abinit_test1_n1_nopeak,test1,n1_nopeak,1,1,false,2026-07-03 02:25:37,2026-07-03 02:25:40,3,0,3267985
abinit_test1_N8_nopeak,test1,N8_nopeak,8,384,false,2026-07-03 02:30:40,2026-07-03 02:30:45,5,0,3267989
abinit_test1_N8_peak,test1,N8_peak,8,384,true,2026-07-03 02:35:43,2026-07-03 02:53:24,1061,255,3267995
abinit_test1_n24_nopeak,test1,n24_nopeak,1,24,false,2026-07-03 02:55:55,2026-07-03 02:55:59,4,0,3267986
abinit_test1_N2_nopeak,test1,N2_nopeak,2,96,false,2026-07-03 02:55:55,2026-07-03 02:55:59,4,0,3267988
abinit_test1_n48_nopeak,test1,n48_nopeak,1,48,false,2026-07-03 03:00:59,2026-07-03 03:01:03,4,0,3267987
abinit_test1_N2_peak,test1,N2_peak,2,96,true,2026-07-03 02:55:55,2026-07-03 03:13:36,1061,255,3267994
abinit_test1_n48_peak,test1,n48_peak,1,48,true,2026-07-03 05:17:24,2026-07-03 05:34:22,1018,255,3267993
abinit_test1_N16_nopeak,test1,N16_nopeak,16,768,false,2026-07-03 06:37:40,2026-07-03 06:37:46,6,0,3267990
abinit_test1_N16_peak,test1,N16_peak,16,768,true,2026-07-03 06:37:40,2026-07-03 06:55:22,1062,255,3267996
