 
     w [eV]       Osc.Str.         Transition         Weight      KS [eV]    Sym.
 
 ================================================================================
 
      1.806        0.00000000       120   ->   122        0.513       1.797      S
      1.806        0.00000000       119   ->   121        0.592       1.797      S
      1.806        0.00000000       119   ->   123        0.735       1.797      S
      1.806        0.00000000       118   ->   121        0.604       1.797      S
      1.823        0.00000000       118   ->   122        0.634       1.797      S
      1.823        0.00000000       119   ->   122        0.638       1.797      S
      1.823        0.00000000       120   ->   123        0.643       1.797      S
      1.836        0.00000000       117   ->   121        0.667       1.797      S
      1.836        0.00000000       116   ->   123        0.601       1.797      S
      1.836        0.00000000       117   ->   123        0.711       1.797      S
      1.969        0.00000000       120   ->   121        0.646       1.797      S
      1.969        0.00000000       119   ->   122        0.648       1.797      S
      1.969        0.00000000       119   ->   123        0.608       1.797      S
      1.969        0.00000000       117   ->   122        0.927       1.797      S
      1.969        0.00000000       118   ->   123        0.746       1.797      S
      2.579        0.00000000       119   ->   124        0.775       2.570      S
      2.579        0.00000000       120   ->   124        0.605       2.570      S
      2.579        0.00000000       119   ->   126        0.705       2.570      S
      2.579        0.00000000       118   ->   124        0.733       2.570      S
      2.579        0.00000000       117   ->   125        0.916       2.570      S
      2.583        0.00000000       117   ->   124        0.494       2.570      S
      2.583        0.00000000       120   ->   125        0.826       2.570      S
      2.583        0.00000000       119   ->   124        0.599       2.570      S
      2.583        0.00000000       118   ->   126        0.623       2.570      S
      2.610        0.00000000       120   ->   126        0.549       2.570      S
      2.610        0.00000000       119   ->   125        0.575       2.570      S
      2.610        0.00000000       116   ->   125        0.644       2.570      S
      2.634        0.00198503       117   ->   126        0.565       2.570      S
      2.634        0.00198503       116   ->   124        0.425       2.570      S
      2.634        0.00198503       117   ->   124        0.624       2.570      S
      2.736        0.00000000       113   ->   121        0.593       2.724      S
      2.736        0.00000000       112   ->   121        0.616       2.724      S
      2.736        0.00000000       115   ->   121        0.618       2.724      S
      2.736        0.00000000       114   ->   121        0.603       2.724      S
      2.738        0.00000000       113   ->   123        0.591       2.724      S
      2.738        0.00000000       114   ->   121        0.491       2.724      S
      2.738        0.00000000       112   ->   121        0.871       2.724      S
      2.738        0.00000000       112   ->   122        0.866       2.724      S
      2.738        0.00000000       112   ->   123        0.873       2.724      S
      2.751        0.00000000       110   ->   121        0.564       2.743      S
      2.751        0.00000000       110   ->   123        0.596       2.743      S
      2.751        0.00000000       108   ->   122        0.680       2.743      S
      2.769        0.00000000       109   ->   123        0.719       2.743      S
      2.769        0.00000000       110   ->   122        0.906       2.743      S
      2.769        0.00000000       107   ->   121        0.795       2.743      S
      2.769        0.00000000       108   ->   122        0.799       2.743      S
      2.769        0.00000000       107   ->   123        0.799       2.743      S
      2.801        0.00000000       109   ->   121        0.605       2.743      S
      2.801        0.00000000       108   ->   121        0.788       2.743      S
      2.801        0.00000000       107   ->   122        0.860       2.743      S
      2.801        0.00000000       108   ->   123        0.850       2.743      S
      2.938        0.00000000       113   ->   122        0.559       2.724      S
      2.938        0.00000000       114   ->   123        0.735       2.724      S
      2.938        0.00000000       115   ->   123        0.696       2.724      S
      3.295        0.14018856       110   ->   123        0.541       2.743      S
      3.295        0.14018856       107   ->   122        0.548       2.743      S
      3.295        0.14018856       110   ->   121        0.489       2.743      S
      3.502        0.00000000       115   ->   124        0.655       3.497      S
      3.502        0.00000000       112   ->   125        0.645       3.497      S
      3.502        0.00000000       113   ->   126        0.649       3.497      S
      3.515        0.00000000       113   ->   126        0.580       3.497      S
      3.515        0.00000000       112   ->   126        0.554       3.497      S
      3.515        0.00000000       115   ->   126        0.562       3.497      S
      3.515        0.00000000       114   ->   126        0.581       3.497      S
      3.528        0.00000000       111   ->   126        0.416       3.516      S
      3.528        0.00000000       113   ->   124        0.633       3.497      S
      3.528        0.00000000       112   ->   126        0.777       3.497      S
      3.528        0.00000000       112   ->   125        0.681       3.497      S
      3.528        0.00000000       112   ->   124        0.685       3.497      S
      3.538        0.00000000       111   ->   125        0.586       3.516      S
      3.538        0.00000000       109   ->   124        0.562       3.516      S
      3.538        0.00000000       109   ->   125        0.622       3.516      S
      3.541        0.00000000       110   ->   124        0.650       3.516      S
      3.541        0.00000000       107   ->   125        0.606       3.516      S
      3.541        0.00000000       110   ->   126        0.585       3.516      S
      3.551        0.00000000       109   ->   126        0.627       3.516      S
      3.551        0.00000000       108   ->   124        0.700       3.516      S
      3.551        0.00000000       109   ->   125        0.459       3.516      S
      3.551        0.00000000       107   ->   125        0.751       3.516      S
      3.736        0.00000000       109   ->   124        0.656       3.516      S
      3.736        0.00000000       110   ->   125        0.805       3.516      S
      3.736        0.00000000       107   ->   124        0.745       3.516      S
      3.736        0.00000000       108   ->   125        0.783       3.516      S
      3.736        0.00000000       107   ->   126        0.684       3.516      S
      3.892        0.00000000       118   ->   129        0.462       3.892      S
      3.893        0.00000000       119   ->   128        0.687       3.892      S
      3.893        0.00000000       116   ->   130        0.489       3.892      S
      3.893        0.00000000       117   ->   127        0.493       3.892      S
      3.893        0.00000000       120   ->   131        0.476       3.892      S
      3.899        0.00000000       118   ->   128        0.585       3.892      S
      3.899        0.00000000       117   ->   127        0.786       3.892      S
      3.899        0.00000000       119   ->   131        0.700       3.892      S
      3.899        0.00000000       117   ->   130        0.662       3.892      S
      3.899        0.00000000       116   ->   129        0.566       3.892      S
      3.926        0.00000000       105   ->   121        0.535       3.926      S
      3.926        0.00000000       102   ->   121        0.603       3.926      S
      3.926        0.00000000       105   ->   123        0.542       3.926      S
      3.926        0.00000000       106   ->   123        0.821       3.926      S
      3.926        0.00000000       105   ->   122        0.522       3.926      S
      3.926        0.00000000       106   ->   121        0.688       3.926      S
