job_name,test_case,config,nodes,ntasks,peak_enabled,start_time,end_time,elapsed_seconds,exit_code,slurm_job_id
lammps_rhodo_n1_nopeak,rhodo,n1_nopeak,1,1,false,2026-07-15 10:48:31,2026-07-15 10:49:04,33,0,3311177
lammps_rhodo_N16_nopeak,rhodo,N16_nopeak,16,768,false,2026-07-15 10:49:03,2026-07-15 10:49:09,6,255,3311182
lammps_rhodo_n48_nopeak,rhodo,n48_nopeak,1,48,false,2026-07-15 10:50:23,2026-07-15 10:50:27,4,0,3311179
lammps_rhodo_n24_nopeak,rhodo,n24_nopeak,1,24,false,2026-07-15 10:50:23,2026-07-15 10:50:27,4,0,3311178
lammps_rhodo_N8_nopeak,rhodo,N8_nopeak,8,384,false,2026-07-15 10:50:23,2026-07-15 10:50:28,5,0,3311181
lammps_rhodo_N2_nopeak,rhodo,N2_nopeak,2,96,false,2026-07-15 10:50:38,2026-07-15 10:50:42,4,0,3311180
lammps_rhodo_n1_peak,rhodo,n1_peak,1,1,true,2026-07-15 10:50:38,2026-07-15 10:51:10,32,0,3311183
