job_name,test_case,config,nodes,ntasks,peak_enabled,start_time,end_time,elapsed_seconds,exit_code,slurm_job_id
dftb_spinlock_N8_nopeak,spinlock,N8_nopeak,8,384,false,2026-07-14 14:40:44,2026-07-14 14:40:48,4,1,3307871
dftb_spinlock_N2_nopeak,spinlock,N2_nopeak,2,96,false,2026-07-14 14:40:49,2026-07-14 14:40:51,2,1,3307870
dftb_spinlock_N16_nopeak,spinlock,N16_nopeak,16,768,false,2026-07-14 14:40:26,2026-07-14 14:42:38,132,1,3307872
dftb_spinlock_n1_nopeak,spinlock,n1_nopeak,1,1,false,2026-07-14 14:40:49,2026-07-14 14:42:49,120,0,3307867
dftb_spinlock_n1_peak,spinlock,n1_peak,1,1,true,2026-07-14 14:41:01,2026-07-14 14:43:04,123,0,3307873
dftb_spinlock_n24_nopeak,spinlock,n24_nopeak,1,24,false,2026-07-14 14:40:49,2026-07-14 14:43:13,144,0,3307868
dftb_spinlock_n48_nopeak,spinlock,n48_nopeak,1,48,false,2026-07-14 14:41:01,2026-07-14 14:44:38,217,0,3307869
