job_name,test_case,config,nodes,ntasks,peak_enabled,start_time,end_time,elapsed_seconds,exit_code,slurm_job_id
abinit_test0_N16_nopeak,test0,N16_nopeak,16,768,false,2026-07-07 14:08:52,2026-07-07 14:11:08,136,0,3283457
abinit_test0_n1_nopeak,test0,n1_nopeak,1,1,false,2026-07-07 14:13:57,2026-07-07 14:14:00,3,0,3283452
abinit_test0_n24_nopeak,test0,n24_nopeak,1,24,false,2026-07-07 14:13:57,2026-07-07 14:14:00,3,0,3283453
abinit_test0_N2_nopeak,test0,N2_nopeak,2,96,false,2026-07-07 14:13:57,2026-07-07 14:14:01,4,0,3283455
abinit_test0_N8_nopeak,test0,N8_nopeak,8,384,false,2026-07-07 14:13:57,2026-07-07 14:14:02,5,0,3283456
abinit_test0_n1_peak,test0,n1_peak,1,1,true,2026-07-07 15:24:46,2026-07-07 15:24:52,6,0,3283458
abinit_test0_n48_nopeak,test0,n48_nopeak,1,48,false,2026-07-07 15:34:52,2026-07-07 15:34:56,4,0,3283454
